Designator,Mid X,Mid Y,Rotation,Layer
C1,64.15,-64.6,0.0,top
C2,72.95,-41.2,0.0,top
C3,67.75,-41.2,0.0,top
C4,62.8,-41.2,0.0,top
C5,58.05,-41.2,0.0,top
C6,53.9,-41.2,0.0,top
C7,67.8,-69.85,90.0,top
J1,46.35,-60.0,270.0,top
R1,55.6875,-69.2,0.0,top
R10_2,83.6,-43.8,270.0,top
R10,55.51,-46.0,270.0,top
R11,65.1125,-78.4,0.0,top
R12,59.2875,-78.4,0.0,top
R13,87.6875,-76.2,180.0,top
R14,86.5125,-44.2,180.0,top
R15,87.6875,-74.2,0.0,top
R16,71.6,-72.8875,90.0,top
R17,41.6,-71.4,270.0,top
R2,47.5125,-74.6,180.0,top
R3,85.6,-47.0,180.0,top
R4,55.6875,-75.0,180.0,top
R5,80.2,-46.0,270.0,top
R6,70.2,-46.0,270.0,top
R7,65.2,-46.0,270.0,top
R8,60.4,-46.0,270.0,top
R9,75.4,-46.0,270.0,top
TP2,103.33575,-45.5,0.0,top
U1,62.0,-72.2,90.0,top
U2,110.93,-65.78,270.0,top
U3,102.93,-52.475,90.0,top
U4,87.0,-52.47,90.0,top
U5,94.95,-52.47,90.0,top
U6,102.88,-65.78,270.0,top
U7,94.93,-65.78,270.0,top
U8,110.73,-52.475,90.0,top
U9,86.93,-65.78,270.0,top
